dataset,method,metric,mean,std
car_eval_4,GS-0.85,macro_ap,0.9971602752393137,0.003982542854073812
car_eval_4,GS-0.85,bal_acc,0.940825440825441,0.03928941284384866
car_eval_4,GS-0.85,brier,0.006940559772137052,0.0010717838835751932
car_eval_4,Sgeo,macro_ap,0.9990789963314382,0.0023881564631729802
car_eval_4,Sgeo,bal_acc,0.9911052850811886,0.020971208009904117
car_eval_4,Sgeo,brier,0.003581695121610678,0.0007905226367561532
car_eval_4,CC-SG,macro_ap,0.9986212997166584,0.0032751549861131848
car_eval_4,CC-SG,bal_acc,0.9916060870880148,0.015311944563349203
car_eval_4,CC-SG,brier,0.003928768311412694,0.0007695854584140512
yeast_me2,Base,macro_ap,0.7053345439060834,0.05389499757603066
yeast_me2,Base,bal_acc,0.5669733518514006,0.04013992715705356
yeast_me2,Base,brier,0.026357357357357353,0.0026781783681177934
yeast_me2,SMOTE,macro_ap,0.7015048435315295,0.042532747196859004
yeast_me2,SMOTE,bal_acc,0.6943640911933595,0.04429482463738167
yeast_me2,SMOTE,brier,0.03713324536657869,0.004381534929416478
yeast_me2,SMOTE-ENN,macro_ap,0.7016093765882687,0.05917601600674603
yeast_me2,SMOTE-ENN,bal_acc,0.7715322888493621,0.05028282403828616
yeast_me2,SMOTE-ENN,brier,0.054940966420966415,0.008297227011795683
yeast_me2,GS-0.85,macro_ap,0.6697118427693732,0.049185709550281585
yeast_me2,GS-0.85,bal_acc,0.714157955865273,0.07035067977851837
yeast_me2,GS-0.85,brier,0.03814940212485372,0.005812958454190587
yeast_me2,Sgeo,macro_ap,0.7073852922847866,0.06201414073356574
yeast_me2,Sgeo,bal_acc,0.7997305133890499,0.07820712393452862
yeast_me2,Sgeo,brier,0.04778493056786899,0.005951211912682994
yeast_me2,CC-SG,macro_ap,0.721019527607623,0.060067902466484975
yeast_me2,CC-SG,bal_acc,0.7699935836521201,0.0649254009386093
yeast_me2,CC-SG,brier,0.038957666204887546,0.006425995933281534
ozone_level,Base,macro_ap,0.6270509774592856,0.04185464519625569
ozone_level,Base,bal_acc,0.5036998741184167,0.011634120704324307
ozone_level,Base,brier,0.02478213015163045,0.0013275676431321614
ozone_level,SMOTE,macro_ap,0.6674293989461041,0.052287417010617634
ozone_level,SMOTE,bal_acc,0.6390593237575377,0.05603281421231906
ozone_level,SMOTE,brier,0.030225938643764206,0.0026197670447497025
ozone_level,SMOTE-ENN,macro_ap,0.6609446202433228,0.05665979743496224
ozone_level,SMOTE-ENN,bal_acc,0.7411781118390726,0.06067106876430734
ozone_level,SMOTE-ENN,brier,0.04812803633643427,0.005116371561535597
ozone_level,GS-0.85,macro_ap,0.6422541816907565,0.04720906171801654
ozone_level,GS-0.85,bal_acc,0.7497402857975263,0.05457981578368199
ozone_level,GS-0.85,brier,0.04976962713610503,0.0046636879989219865
ozone_level,Sgeo,macro_ap,0.6660064738209375,0.05125263644223802
ozone_level,Sgeo,bal_acc,0.7826808222588165,0.06367184694463439
ozone_level,Sgeo,brier,0.06576815905408274,0.006095466132043453
ozone_level,CC-SG,macro_ap,0.6712705881747729,0.0447207698673107
ozone_level,CC-SG,bal_acc,0.7668300300215403,0.08385160876143752
ozone_level,CC-SG,brier,0.05012171983309779,0.004532139140746675
mammography,Base,macro_ap,0.8747277224943627,0.0304284008019026
mammography,Base,bal_acc,0.768422079446107,0.04044994998159435
mammography,Base,brier,0.010073241617024175,0.001349805519294375
mammography,SMOTE,macro_ap,0.8520863347931349,0.029739859106034428
mammography,SMOTE,bal_acc,0.8666074397252888,0.03442640936110293
mammography,SMOTE,brier,0.0176166758958907,0.0013009591167005583
mammography,SMOTE-ENN,macro_ap,0.8277191638167735,0.03250203625028996
mammography,SMOTE-ENN,bal_acc,0.8781626376420426,0.03277701330590149
mammography,SMOTE-ENN,brier,0.02189042705631877,0.0018207166105684658
mammography,GS-0.85,macro_ap,0.8518629711620979,0.02895589086700265
mammography,GS-0.85,bal_acc,0.8713402094981041,0.028777396144987987
mammography,GS-0.85,brier,0.022399964071409165,0.0024671932559447714
mammography,Sgeo,macro_ap,0.8648265489476322,0.02847427035077684
mammography,Sgeo,bal_acc,0.9007060013467337,0.030987388817920045
mammography,Sgeo,brier,0.02581119507504736,0.0021032967863162037
mammography,CC-SG,macro_ap,0.8662146896597017,0.032118349912781514
mammography,CC-SG,bal_acc,0.8808330259874881,0.03161548905602813
mammography,CC-SG,brier,0.01966268748680618,0.0022191034702959984
abalone_19,Base,macro_ap,0.512194852417414,0.011427818103891431
abalone_19,Base,bal_acc,0.5,0.0
abalone_19,Base,brier,0.007999177128995597,0.0005685032898593291
abalone_19,SMOTE,macro_ap,0.5184402338470022,0.010054156394043784
abalone_19,SMOTE,bal_acc,0.5369444923124056,0.04585484595726415
abalone_19,SMOTE,brier,0.022337932832898796,0.0017564767620951206
abalone_19,SMOTE-ENN,macro_ap,0.5221259549022412,0.015254157154147059
abalone_19,SMOTE-ENN,bal_acc,0.5852796446282574,0.07154137891987838
abalone_19,SMOTE-ENN,brier,0.03697782394063547,0.0042069050085598745
abalone_19,GS-0.85,macro_ap,0.5107997370453649,0.006201908242858977
abalone_19,GS-0.85,bal_acc,0.5209613801290521,0.0437075013203072
abalone_19,GS-0.85,brier,0.021250616853416875,0.004625858654975834
abalone_19,Sgeo,macro_ap,0.5127077311624876,0.005329581985386782
abalone_19,Sgeo,bal_acc,0.5153321079135312,0.04280882565259122
abalone_19,Sgeo,brier,0.03163149885874184,0.0024867385641935205
abalone_19,CC-SG,macro_ap,0.5136981324032379,0.008003030661971248
abalone_19,CC-SG,bal_acc,0.5264767265973539,0.05836042501277339
abalone_19,CC-SG,brier,0.023828818602030392,0.0027454602434825027
